STATES,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE
andhra pradesh,2022,2754,2656,168,1876,1,1876,2990,2435,555,16,546,8687,36615,13864,22751,1475,1372,13880,404,1081,68855,720,6334,6078,20200,6,21187
arunachal pradesh,2022,62,18,1,64,1,64,90,55,36,3,50,156,432,210,222,50,81,123,1,48,447,1,67,2,28,1,242
assam,2022,1406,566,53,2645,2,2643,5699,4943,756,12,982,4749,12498,3896,8602,2886,1661,2348,95,2050,7536,250,2183,13,10353,3,3659
bihar,2022,2704,4240,328,911,1,911,6084,5827,258,382,102,4196,24089,9590,14499,10655,1860,5415,28,934,48133,1849,503,32,4085,44,8765
chhattisgarh,2022,1382,972,7,1103,1,1103,660,498,162,57,691,3339,6964,4013,2952,1221,266,1422,120,460,18319,141,1677,190,1142,2,5435
goa,2022,59,34,7,69,1,69,50,33,17,1,35,337,1504,625,879,121,70,246,57,41,237,1,62,21,27,1,317
gujarat,2022,852,385,28,646,1,646,2240,2060,180,83,1740,3275,17766,14179,3586,691,672,499,401,565,5901,28,692,93,9587,1,8753
haryana,2022,1343,1294,56,1096,1,1096,1937,1409,528,308,1148,7087,29835,22411,7424,2299,1157,2524,16,191,2630,291,550,97,4446,1,2349
himachal pradesh,2022,132,33,9,227,1,227,259,232,27,1,1,1052,1357,534,823,479,214,579,6,117,1010,4,318,124,286,1,714
jammu & kashmir,2022,973,489,13,379,1,379,1391,1400,9,24,35,1538,2975,1013,1963,2314,234,721,36,42,241,8,1651,333,513,1,431
jharkhand,2022,1980,859,47,914,1,915,1622,1276,346,64,499,1186,10865,4719,6146,2497,788,1981,26,153,6846,342,167,49,1316,2,3198
karnataka,2022,2068,2226,103,973,1,973,2168,1303,865,307,3508,5744,26467,17462,9005,7925,365,9089,119,214,17805,280,3861,68,5809,30,1381
kerala,2022,240,343,93,1326,1,1326,402,335,67,14,976,1043,3840,1238,2601,12482,302,6095,93,352,21314,22,5011,1018,7737,1,91
madhya pradesh,2022,2451,1697,82,3793,1,3793,1549,1519,31,71,2477,6238,25826,20545,5282,1182,610,2584,17,544,45255,1031,6044,836,4988,32,12067
